Date,Open,High,Low,Close,Adj Close,Volume
1997-06-30,725.028992,742.953979,707.416992,721.270020,721.248596,0
1997-07-31,721.497009,722.223022,491.910004,493.962006,493.947357,0
1997-08-31,493.598999,615.133972,475.471008,546.687988,546.671814,0
1997-09-30,546.219971,546.219971,444.300995,500.417999,500.403137,0
1997-10-31,500.800995,514.716003,385.851013,401.708008,401.696075,0
1997-11-30,401.302002,427.890991,335.694000,401.712006,401.700073,0
1997-12-31,402.104004,486.893005,321.078003,485.937988,485.923553,0
1998-01-31,486.023010,570.052002,437.980988,482.377991,482.363678,0
1998-02-28,482.377991,550.268982,482.377991,541.424988,541.408936,0
1998-03-31,543.099976,546.676025,456.039001,460.135010,460.121338,0
1998-04-30,460.114990,460.114990,384.096985,420.464996,420.452515,0
1998-05-31,420.230988,445.920013,384.713013,445.920013,445.906769,0
1998-06-30,445.164001,492.220001,441.811005,481.717010,481.702728,0
1998-07-31,481.786011,482.339996,323.242004,342.436005,342.425842,0
1998-08-31,342.082001,342.082001,255.464005,276.149994,276.141785,0
1998-09-30,276.588013,351.131989,255.973999,300.769989,300.761078,0
1998-10-31,301.203003,436.794006,301.203003,386.270996,386.259552,0
1998-11-30,385.920990,414.498993,373.993988,398.037994,398.026184,0
1998-12-31,393.963989,462.121002,376.303009,411.932007,411.919800,0
1999-01-31,412.209015,417.764008,393.208008,396.088989,396.077209,0
1999-02-28,396.048004,399.303009,370.643005,393.625000,393.613312,0
1999-03-31,393.625000,528.546997,392.033997,495.221985,495.207275,0
1999-04-30,495.191986,626.093018,495.191986,585.242004,585.224609,0
1999-05-31,585.336975,720.049988,567.961975,662.025024,662.005371,0
1999-06-30,667.825989,690.267029,567.422974,597.874023,597.856323,0
1999-07-31,598.164001,622.690002,550.403015,567.026001,567.009155,0
1999-08-31,567.026001,576.875977,503.597992,547.937012,547.920715,0
1999-09-30,548.335022,644.072998,548.335022,593.869019,593.851440,0
1999-10-31,594.703003,647.505981,571.138000,583.799988,583.782654,0
1999-11-30,583.234009,693.533020,583.234009,676.919006,676.898926,0
1999-12-31,677.473999,707.469971,626.296997,636.372009,636.353149,0
2000-01-31,636.760986,642.138000,565.346985,576.541992,576.524841,0
2000-02-29,577.786011,599.822021,528.203979,583.276001,583.258728,0
2000-03-31,583.546997,583.565979,510.066986,526.737000,526.721375,0
2000-04-30,526.831970,553.851013,441.635986,454.326996,454.313538,0
2000-05-31,454.993011,515.109985,440.463013,515.109985,515.094666,0
2000-06-30,514.658020,517.854980,489.351990,492.192993,492.178375,0
2000-07-31,492.192993,510.157013,459.643005,466.380005,466.366150,0
2000-08-31,466.380005,478.945007,405.204010,421.335999,421.323517,0
2000-09-30,421.160004,432.497009,399.072998,405.346985,405.334930,297888400
2000-10-31,406.894989,436.121002,405.566986,429.213989,429.201233,578825300
2000-11-30,428.273010,438.592010,410.938995,416.321014,416.308655,791828100
2000-12-31,415.372009,425.614014,402.381989,425.614014,425.601379,970379100
2001-01-31,426.265991,469.812012,420.807007,428.303009,428.290314,1153851600
2001-02-28,426.644989,435.375000,352.670990,381.049988,381.038696,979646800
2001-03-31,381.045990,381.263000,338.178986,358.231995,358.221344,979295800
2001-04-30,359.402008,414.136993,357.809998,405.863007,405.850952,1460433200
2001-05-31,405.782990,440.045013,386.497009,437.619995,437.607025,1415559500
2001-06-30,437.309998,478.368011,426.501007,470.229004,470.215057,1655016700
2001-07-31,443.545990,444.760986,441.475006,443.194000,443.180847,46291200
2001-08-31,432.774994,449.268005,388.950989,392.476013,392.464355,2198026800
2001-09-30,392.467010,394.976013,361.671997,383.734985,383.723602,822279200
2001-10-31,383.980011,386.342987,366.006989,380.308014,380.296722,889738200
2001-11-30,380.203003,392.036011,368.464996,392.036011,392.024384,605889000
2001-12-31,387.308990,453.437988,377.703003,451.635986,451.622589,1096801400
2002-01-31,453.173004,466.674011,428.906006,453.246002,453.232544,1091714100
2002-02-28,452.942993,488.127991,449.101990,481.774994,481.760712,2143144000
2002-03-31,482.524994,557.593018,481.006989,534.062012,534.046143,3482066900
2002-04-30,534.109985,551.041992,495.981995,530.789978,530.774231,3628221700
2002-05-31,530.817017,547.234985,498.743011,505.009003,504.994019,2654160500
2002-06-30,505.144012,505.596008,439.273987,463.669006,463.655243,3730828800
2002-07-31,462.944000,466.946991,437.044006,443.674011,443.660828,3209427100
2002-08-31,443.027008,443.402008,401.700989,419.307007,419.294556,2940028200
2002-09-30,418.472992,418.472992,323.316986,369.044006,369.033051,3062830400
2002-10-31,369.704987,391.170013,360.575989,390.424988,390.413391,2871353300
2002-11-30,390.424988,428.622986,387.855011,424.945007,424.932404,1929345700
2002-12-31,423.342010,423.342010,386.812988,388.442993,388.431488,2722179000
2003-01-31,388.230988,404.931000,387.954010,399.220001,399.208160,2228468300
2003-02-28,398.742004,404.472992,377.406006,398.003998,397.992188,2506046000
2003-03-31,397.041992,452.632996,393.842010,450.860992,450.847595,4665579900
2003-04-30,452.154999,500.613007,446.902008,494.776001,494.761292,2935182200
2003-05-31,495.237000,524.892029,493.274994,505.498993,505.484009,3114157700
2003-06-30,505.473999,539.130981,496.217987,507.984985,507.969910,3414420200
2003-07-31,508.109009,531.747009,479.820007,529.674988,529.659241,3647464900
2003-08-31,529.505981,606.622986,529.505981,597.651978,597.634277,3441081400
2003-09-30,597.612976,658.099976,597.612976,625.546021,625.527466,2259710200
2003-10-31,624.268005,642.413025,598.742981,617.083984,617.065674,1619880200
2003-11-30,617.257019,700.960022,617.257019,691.895020,691.874512,1794832000
2003-12-31,691.375977,788.254028,687.997986,752.932007,752.909668,1871603500
2004-01-31,748.484985,796.070007,725.223022,761.080994,761.058411,1341062000
2004-02-29,760.895996,781.229980,700.176025,735.677002,735.655151,1737758500
2004-03-31,735.677979,824.508972,729.770996,783.413025,783.389771,1440616800
2004-04-30,785.403992,786.382019,665.958984,732.515991,732.494263,1650849600
2004-05-31,731.512024,732.401001,683.922974,732.401001,732.379272,2191734800
2004-06-30,728.223022,772.354004,722.747986,756.982971,756.960510,2724796900
2004-07-31,755.138977,763.947021,728.349976,754.703979,754.681580,2532624700
2004-08-31,755.961975,829.570984,755.945007,820.133972,820.109619,1819188500
2004-09-30,820.692017,864.625000,820.518982,860.487000,860.461487,2195196500
2004-10-31,860.653015,977.767029,857.570984,977.767029,977.738037,1980657200
2004-11-30,977.831970,1007.494995,910.994019,1000.232971,1000.203247,1879336700
2004-12-31,1000.554016,1049.126953,994.531006,1045.435059,1045.404053,1867461000
2005-01-31,1046.103027,1109.479004,1034.146973,1073.828003,1073.796143,1477135900
2005-02-28,1074.250000,1156.958984,1056.551025,1080.165039,1080.132935,3088911500
2005-03-31,1081.521973,1121.461060,1011.375977,1029.613037,1029.582397,2549850000
2005-04-30,1031.103027,1088.208984,1021.401001,1088.168945,1088.136597,1739598300
2005-05-31,1087.558960,1148.797974,1079.135986,1122.375977,1122.342773,2234490700
2005-06-30,1124.298950,1187.790039,1101.991943,1182.301025,1182.265869,2727894100
2005-07-31,1180.485962,1195.550049,951.210022,1050.089966,1050.058716,2875882900
2005-08-31,1028.822021,1106.813965,1008.393005,1079.275024,1079.242920,2072781000
2005-09-30,1055.149048,1109.801025,1053.463989,1066.223999,1066.192383,1841803400
2005-10-31,1072.883057,1096.640991,1012.481018,1096.640991,1096.608398,1017229300
2005-11-30,1095.421997,1185.905029,1087.161987,1162.635010,1162.600464,1560954200
2005-12-31,1161.977051,1268.631958,1161.301025,1232.321045,1232.284546,2265261500
2006-01-31,1233.956055,1260.104004,1212.285034,1230.663940,1230.627441,1972421200
2006-02-28,1222.807007,1339.819946,1222.208984,1322.973999,1322.934692,2257454000
2006-03-31,1322.468018,1499.994019,1322.300049,1464.406006,1464.362549,2164023600
2006-04-30,1468.291992,1553.488037,1272.255981,1329.995972,1329.956421,2652027800
2006-05-31,1340.172974,1359.530029,1222.276001,1310.262939,1310.224121,2265113100
2006-06-30,1310.578979,1355.185059,1277.603027,1351.649048,1351.608887,3200113400
2006-07-31,1352.739990,1441.956055,1351.005005,1431.261963,1431.219482,3016766400
2006-08-31,1431.542969,1534.614990,1417.239014,1534.614990,1534.569458,2290990900
2006-09-30,1531.984009,1588.531006,1515.463989,1582.625977,1582.579102,2510425200
2006-10-31,1582.698975,1738.406006,1576.435059,1718.961060,1718.910034,3533748200
2006-11-30,1720.152954,1814.256958,1719.342041,1805.522949,1805.469360,4214154800
2006-12-31,1813.449951,1843.348999,1627.761963,1757.258057,1757.205933,4903349100
2007-01-31,1765.866943,1824.991943,1664.203979,1740.970947,1740.919312,4329851800
2007-02-28,1752.114014,1833.415039,1692.218018,1830.923950,1830.869629,4351076800
2007-03-31,1837.181030,2021.010010,1837.181030,1999.166992,1999.107666,5067618400
2007-04-30,1995.166992,2111.826904,1987.885010,2084.323975,2084.262207,4607199300
2007-05-31,2100.684082,2167.450928,2045.577026,2139.278076,2139.214600,4981521300
2007-06-30,2140.622070,2405.962891,2140.622070,2348.673096,2348.603271,5246557500
2007-07-31,2318.698975,2322.797119,1863.364990,2194.339111,2194.273926,5559729000
2007-08-31,2194.426025,2385.235107,2192.789063,2359.206055,2359.135986,4914744800
2007-09-30,2366.614990,2689.916016,2366.614990,2643.487061,2643.408447,7467344200
2007-10-31,2692.510986,2737.812988,2526.949951,2688.332031,2688.252197,7900879900
2007-11-30,2703.716064,2818.534912,2629.073975,2745.825928,2745.744385,4801966600
2007-12-31,2739.585938,2838.476074,2229.819092,2627.250977,2627.172852,16582304200
2008-01-31,2657.159912,2773.434082,2573.406982,2721.944092,2721.863281,9063684500
2008-02-29,2651.875977,2689.659912,2239.728027,2447.299072,2447.226563,4332789400
2008-03-31,2463.740967,2465.822021,2167.645996,2304.516113,2304.447510,6469720200
2008-04-30,2333.559082,2516.262939,2322.193115,2444.349121,2444.276611,8428247300
2008-05-31,2447.632080,2461.051025,2316.429932,2349.104980,2349.035156,6858668300
2008-06-30,2361.478027,2394.170898,2129.400879,2304.508057,2304.439453,4347507300
2008-07-31,2283.017090,2283.017090,2035.590942,2165.943115,2165.878906,14198692100
2008-08-31,2157.022949,2168.801025,1592.243042,1832.506958,1832.452515,6438221900
2008-09-30,1766.935059,1766.935059,1089.339966,1256.703979,1256.666626,3482184400
2008-10-31,1281.508057,1430.717041,1102.673950,1241.541016,1241.504150,4318402700
2008-11-30,1240.848999,1376.100952,1177.857056,1355.407959,1355.367798,3198687900
2008-12-31,1377.449951,1472.459961,1307.527954,1332.666992,1332.627441,2920530700
2009-01-31,1330.015015,1360.943970,1281.074951,1285.475952,1285.437744,3287519700
2009-02-28,1285.475952,1467.524048,1244.868042,1434.073975,1434.031372,3105093300
2009-03-31,1434.073975,1728.066040,1434.073975,1722.765991,1722.714844,49936573400
2009-04-30,1722.765991,1941.786987,1701.994019,1916.831055,1916.774170,55743777800
2009-05-31,1917.453003,2116.166016,1888.821045,2026.780029,2026.719849,113727466700
2009-06-30,2026.884033,2332.762939,1992.379028,2323.236084,2323.166992,95898711200
2009-07-31,2323.854004,2411.898926,2271.208984,2341.537109,2341.467529,81982100300
2009-08-31,2341.434082,2482.850098,2272.763916,2467.591064,2467.517822,68301762200
2009-09-30,2467.903076,2559.669922,2235.386963,2367.700928,2367.630615,86977977600
2009-10-31,2365.648926,2494.824951,2294.555908,2415.836914,2415.765137,98857472200
2009-11-30,2416.041992,2542.503906,2412.997070,2534.355957,2534.280762,59964222200
2009-12-31,2533.947998,2689.774902,2532.895996,2610.795898,2610.718506,82687327400
2010-01-31,2610.593018,2613.673096,2431.837891,2549.032959,2548.957275,58475107300
2010-02-28,2548.831055,2818.940918,2545.893066,2777.301025,2777.218506,81365576000
2010-03-31,2777.704102,2972.916992,2777.704102,2971.251953,2971.163818,105506791200
2010-04-30,2971.747070,2996.418945,2502.053955,2796.957031,2796.874023,87926923500
2010-05-31,2796.659912,2981.278076,2698.281006,2913.684082,2913.597656,91220776800
2010-06-30,2912.881104,3104.079102,2860.912109,3069.280029,3069.188965,82113176600
2010-07-31,3070.278076,3150.158936,2959.753906,3081.884033,3081.792480,81726803200
2010-08-31,3081.487061,3524.315918,3081.487061,3501.295898,3501.192139,63764534200
2010-09-30,3501.198975,3667.013916,3501.198975,3635.323975,3635.216064,105475647600
2010-10-31,3635.516113,3777.917969,3529.854004,3531.210938,3531.106201,101675992600
2010-11-30,3530.926025,3788.564941,3530.926025,3703.511963,3703.402100,59939428200
2010-12-31,3704.440918,3789.472900,3309.615967,3409.166992,3409.065918,57136795000
2011-01-31,3411.075928,3521.633057,3336.829102,3470.347900,3470.244873,33288846400
